0.796,0.970,0.383,
0.691,0.124,0.085,
0.345,0.467,0.734,
0.947,0.657,0.332,
0.520,0.290,0.840,
0.954,0.755,0.372,
0.074,0.558,0.828,
0.207,0.428,0.177,
0.775,0.267,0.130,
0.914,0.754,0.880,
0.783,0.898,0.044,
0.296,0.728,0.687,
0.152,0.407,0.734,
0.848,0.938,0.437,
0.785,0.255,0.380,
0.271,0.533,0.980,
0.228,0.955,0.399,
0.321,0.268,0.440,
0.830,0.250,0.157,
0.822,0.928,0.326,
0.571,0.069,0.314,
0.572,0.299,0.895,
0.286,0.592,0.247,
0.699,0.203,0.311,
0.796,0.636,0.409,
0.442,0.798,0.708,
0.446,0.502,0.144,
0.466,0.651,0.871,
0.279,0.796,0.083,
0.675,0.233,0.462,
0.904,0.601,0.030,
0.909,0.112,0.753,
0.747,0.516,0.700,
0.261,0.838,0.215,
0.690,0.921,0.680,
0.132,0.498,0.557,
0.124,0.278,0.851,
0.191,0.653,0.559,
0.146,0.917,0.902,
0.585,0.510,0.420,
0.073,0.974,0.358,
0.822,0.197,0.489,
0.723,0.111,0.256,
0.926,0.297,0.929,
0.493,0.396,0.467,
0.655,0.421,0.254,
0.890,0.311,0.431,
0.539,0.694,0.703,
0.282,0.092,0.402,
0.976,0.402,0.182,
0.036,0.295,0.856,
0.326,0.306,0.584,
0.973,0.106,0.374,
0.365,0.594,0.222,
0.309,0.283,0.219,
0.121,0.155,0.522,
0.916,0.001,0.433,
0.135,0.284,0.741,
0.332,0.551,0.070,
0.897,0.871,0.847,
0.500,0.042,0.680,
0.615,0.905,0.137,
0.583,0.131,0.858,
0.698,0.834,0.200,
0.029,0.800,0.607,
0.528,0.918,0.543,
0.032,0.137,0.162,
0.827,0.505,0.006,
0.340,0.405,0.771,
0.847,0.174,0.765,
0.246,0.575,0.421,
0.581,0.606,0.057,
0.938,0.214,0.586,
0.048,0.520,0.174,
0.054,0.989,0.729,
0.021,0.490,0.534,
0.681,0.695,0.253,
0.599,0.411,0.917,
0.114,0.035,0.758,
0.796,0.293,0.887,
0.618,0.801,0.069,
0.070,0.347,0.184,
0.069,0.083,0.737,
0.136,0.511,0.697,
0.789,0.367,0.777,
0.092,0.739,0.502,
0.238,0.525,0.425,
0.244,0.805,0.611,
0.105,0.817,0.856,
0.858,0.189,0.671,
0.698,0.124,0.524,
0.734,0.821,0.299,
0.651,0.638,0.704,
0.516,0.016,0.382,
0.326,0.896,0.568,
0.662,0.515,0.888,
0.118,0.545,0.843,
0.148,0.606,0.899,
0.020,0.760,0.939,
0.964,0.855,0.815,